sku_id,product_name,category,on_hand_units,on_order_units,lead_time_days,reorder_point,avg_daily_demand,stockout_risk,overstock_risk,risk_quadrant,recommended_action,revenue_at_risk,capital_locked,rupee_value_at_stake
SKU045,Product 045,Storage,307,142,4,142,21.071428571428573,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU047,Product 047,Home Decor,201,129,9,99,13.892857142857142,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU046,Product 046,Furniture,119,182,4,96,8.357142857142858,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU007,Product 007,Home Decor,207,460,8,237,22.142857142857142,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU005,Product 005,Storage,471,291,6,245,14.714285714285714,0.0,0.12526539278131635,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU004,Product 004,Lighting,259,254,6,196,4.714285714285714,0.0,0.49034749034749037,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU008,Product 008,Kitchen,325,155,3,161,14.535714285714286,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU010,Product 010,Storage,83,70,13,60,15.714285714285714,0.25104895104895103,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU014,Product 014,Lighting,309,334,10,299,17.964285714285715,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU024,Product 024,Lighting,341,18,14,259,11.035714285714286,0.0,0.093841642228739,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU009,Product 009,Lighting,75,89,7,131,10.75,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU016,Product 016,Furniture,255,187,11,129,12.214285714285714,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU015,Product 015,Storage,187,245,9,265,3.5357142857142856,0.0,0.47058823529411764,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU018,Product 018,Kitchen,235,102,8,184,22.428571428571427,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU017,Product 017,Home Decor,95,26,12,274,13.25,0.2389937106918239,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU019,Product 019,Lighting,227,114,14,126,14.535714285714286,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU021,Product 021,Furniture,88,97,9,88,7.357142857142857,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU022,Product 022,Home Decor,95,194,8,163,9.571428571428571,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,0.0
SKU050,Product 050,Storage,328,525,14,316,5.892857142857143,0.0,0.4969512195121951,Healthy,No action needed; leave as is.,0.0,0.0,0.0
