date,sku_id,units_sold,revenue,unit_price,promo_flag,product_name,category,subcategory,launch_date,unit_cost,list_price,gross_margin_per_unit,year,month,quarter,week,day_of_week,is_weekend,season,holiday,is_holiday,promo_event,baseline_pred,units_lag_1,units_lag_7,units_lag_14,units_lag_28,units_roll_mean_7,units_roll_std_7,units_roll_mean_28,units_roll_std_28,is_promo,is_holiday_flag,is_weekend_flag,week_of_year
2024-01-11,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Thursday,0,Winter,No Holiday,0,No Promotion,,11.0,23.0,,,15.571428571428571,4.790864322059324,13.9,5.173651192984184,0,0,0,2
2024-01-12,SKU001,14,51296.7,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Friday,0,Winter,No Holiday,0,No Promotion,,11.0,16.0,,,13.857142857142858,3.71611676478603,13.636363636363637,4.985433326657318,0,0,0,2
2024-01-13,SKU001,10,36640.5,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Saturday,1,Winter,No Holiday,0,No Promotion,,14.0,18.0,,,13.571428571428571,3.5989416433697463,13.666666666666666,4.754583115906231,0,0,1,2
2024-01-14,SKU001,17,62288.85,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Sunday,1,Winter,No Holiday,0,No Promotion,,10.0,19.0,,,12.428571428571429,3.2071349029490874,13.384615384615385,4.664376727539302,0,0,1,2
2024-01-15,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Monday,0,Winter,No Holiday,0,No Promotion,,17.0,12.0,5.0,,12.142857142857142,2.5448360411214,13.642857142857142,4.584373841265949,0,0,0,3
2024-01-16,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Tuesday,0,Winter,No Holiday,0,No Promotion,,15.0,10.0,13.0,,12.571428571428571,2.7602622373694112,13.733333333333333,4.43148905426779,0,0,0,3
2024-01-17,SKU001,21,76945.05,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Wednesday,0,Winter,No Holiday,0,No Promotion,,18.0,11.0,12.0,,13.714285714285714,3.147183169877769,14.0,4.412104562073146,0,0,0,3
2024-01-18,SKU001,17,62288.85,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Thursday,0,Winter,No Holiday,0,No Promotion,,21.0,11.0,23.0,,15.142857142857142,3.891382420536065,14.411764705882353,4.5969939026690545,0,0,0,3
2024-01-19,SKU001,10,36640.5,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Friday,0,Winter,No Holiday,0,No Promotion,,17.0,14.0,16.0,,16.0,3.4641016151377526,14.555555555555555,4.501270699313332,0,0,0,3
2024-01-20,SKU001,19,69616.95,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Saturday,1,Winter,No Holiday,0,No Promotion,,10.0,10.0,18.0,,15.428571428571429,4.117326918327101,14.31578947368421,4.497562692774676,0,0,1,3
2024-01-21,SKU001,17,62288.85,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,3,Sunday,1,Winter,No Holiday,0,No Promotion,,19.0,17.0,19.0,,16.714285714285715,3.4982989063393695,14.55,4.50116943868918,0,0,1,3
2024-01-22,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Monday,0,Winter,No Holiday,0,No Promotion,,17.0,15.0,12.0,,16.714285714285715,3.4982989063393695,14.666666666666666,4.419653078391258,0,0,0,4
2024-01-23,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Tuesday,0,Winter,No Holiday,0,No Promotion,,13.0,18.0,10.0,,16.428571428571427,3.735288603626357,14.590909090909092,4.327751983355472,0,0,0,4
2024-01-24,SKU001,14,51296.7,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Wednesday,0,Winter,No Holiday,0,No Promotion,,15.0,21.0,11.0,,16.0,3.6968455021364703,14.608695652173912,4.229110484968576,0,0,0,4
2024-01-25,SKU001,8,29312.4,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Thursday,0,Winter,No Holiday,0,No Promotion,,14.0,17.0,11.0,,15.0,2.999999999999997,14.583333333333334,4.138017448706215,0,0,0,4
2024-01-26,SKU001,9,32976.45,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Friday,0,Winter,Republic Day,1,No Promotion,,8.0,10.0,14.0,,13.714285714285714,3.8172540616821076,14.32,4.259499188089291,0,1,0,4
2024-01-27,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Saturday,1,Winter,No Holiday,0,No Promotion,,9.0,19.0,10.0,,13.571428571428571,3.994043183589898,14.115384615384615,4.301877944125547,0,0,1,4
2024-01-28,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,4,Sunday,1,Winter,No Holiday,0,No Promotion,,18.0,17.0,17.0,,13.428571428571429,3.7796447300922686,14.25925925925926,4.284072402898479,0,0,1,4
2024-01-29,SKU001,14,51296.7,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,5,Monday,0,Winter,No Holiday,0,No Promotion,,12.0,13.0,15.0,5.0,12.714285714285714,3.450327796711767,14.178571428571429,4.225614760696969,0,0,0,5
2024-01-30,SKU001,23,84273.15,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,5,Tuesday,0,Winter,No Holiday,0,No Promotion,,14.0,15.0,18.0,13.0,12.857142857142858,3.4846602621858436,14.5,3.824869884013,0,0,0,5
2024-01-31,SKU001,7,25648.35,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,5,Wednesday,0,Winter,No Holiday,0,No Promotion,,23.0,14.0,21.0,12.0,14.0,5.196152422706629,14.857142857142858,4.133998922344693,0,0,0,5
2024-02-01,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,5,Thursday,0,Winter,No Holiday,0,No Promotion,,7.0,8.0,17.0,23.0,13.0,5.830951894845297,14.678571428571429,4.363600037928005,0,0,0,5
2024-02-02,SKU001,21,76945.05,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,5,Friday,0,Winter,No Holiday,0,No Promotion,,12.0,9.0,10.0,16.0,13.571428571428571,5.442338432975993,14.285714285714286,4.07210149456157,0,0,0,5
2024-02-03,SKU001,24,87937.2,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,5,Saturday,1,Winter,No Holiday,0,No Promotion,,21.0,18.0,19.0,18.0,15.285714285714286,5.648430038936649,14.464285714285714,4.255559699944103,0,0,1,5
2024-02-04,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,5,Sunday,1,Winter,No Holiday,0,No Promotion,,24.0,12.0,17.0,19.0,16.142857142857142,6.5173760422573785,14.678571428571429,4.578966173377045,0,0,1,5
2024-02-05,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Monday,0,Winter,No Holiday,0,No Promotion,,18.0,14.0,13.0,12.0,17.0,6.271629240742257,14.642857142857142,4.54780602956411,0,0,0,6
2024-02-06,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Tuesday,0,Winter,No Holiday,0,No Promotion,,15.0,23.0,15.0,10.0,17.142857142857142,6.2029179001652475,14.75,4.518480570575319,0,0,0,6
2024-02-07,SKU001,16,58624.8,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Wednesday,0,Winter,No Holiday,0,No Promotion,,18.0,7.0,14.0,11.0,16.428571428571427,5.682051943243238,15.035714285714286,4.459547750340401,0,0,0,6
2024-02-08,SKU001,19,69616.95,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Thursday,0,Winter,No Holiday,0,No Promotion,,16.0,12.0,8.0,11.0,17.714285714285715,3.946064947695177,15.214285714285714,4.391550328268398,0,0,0,6
2024-02-09,SKU001,10,36640.5,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Friday,0,Winter,No Holiday,0,No Promotion,,19.0,21.0,9.0,14.0,18.714285714285715,3.0394235042348416,15.5,4.3673875571185645,0,0,0,6
2024-02-10,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Saturday,1,Winter,No Holiday,0,No Promotion,,10.0,24.0,18.0,10.0,17.142857142857142,4.259443290250161,15.357142857142858,4.482181063940532,0,0,1,6
2024-02-11,SKU001,19,69616.95,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,6,Sunday,1,Winter,No Holiday,0,No Promotion,,15.0,18.0,12.0,17.0,15.857142857142858,3.0237157840738145,15.535714285714286,4.358747210917059,0,0,1,6
2024-02-12,SKU001,14,51296.7,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Monday,0,Winter,No Holiday,0,No Promotion,,19.0,15.0,14.0,15.0,16.0,3.1622776601683764,15.607142857142858,4.399825633870688,0,0,0,7
2024-02-13,SKU001,9,32976.45,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Tuesday,0,Winter,No Holiday,0,No Promotion,,14.0,18.0,23.0,18.0,15.857142857142858,3.236694374850745,15.571428571428571,4.408985534014988,0,0,0,7
2024-02-14,SKU001,22,80609.1,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Wednesday,0,Winter,No Holiday,0,No Promotion,,9.0,16.0,7.0,21.0,14.571428571428571,3.9520940802374143,15.25,4.551149630913375,0,0,0,7
2024-02-15,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Thursday,0,Winter,No Holiday,0,No Promotion,,22.0,19.0,12.0,17.0,15.428571428571429,4.859943170351646,15.285714285714286,4.6015870278202025,0,0,0,7
2024-02-16,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Friday,0,Winter,No Holiday,0,No Promotion,,15.0,10.0,21.0,10.0,14.857142857142858,4.598136268408879,15.214285714285714,4.58949801868266,0,0,0,7
2024-02-17,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Saturday,1,Winter,No Holiday,0,No Promotion,,15.0,15.0,24.0,19.0,15.571428571428571,4.076646614442758,15.392857142857142,4.474944946603507,0,0,1,7
2024-02-18,SKU001,16,58624.8,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,7,Sunday,1,Winter,No Holiday,0,No Promotion,,13.0,19.0,18.0,17.0,15.285714285714286,4.1918287860346295,15.178571428571429,4.439332377472085,0,0,1,7
2024-02-19,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Monday,0,Winter,No Holiday,0,No Promotion,,16.0,14.0,15.0,13.0,14.857142857142858,3.8913824205360665,15.142857142857142,4.42814471403833,0,0,0,8
2024-02-20,SKU001,17,62288.85,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Tuesday,0,Winter,No Holiday,0,No Promotion,,15.0,9.0,18.0,15.0,15.0,3.8729833462074157,15.214285714285714,4.4083854679306835,0,0,0,8
2024-02-21,SKU001,16,58624.8,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Wednesday,0,Winter,No Holiday,0,No Promotion,,17.0,22.0,16.0,14.0,16.142857142857142,2.8535691936340215,15.285714285714286,4.420969751646526,0,0,0,8
2024-02-22,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Thursday,0,Winter,No Holiday,0,No Promotion,,16.0,15.0,19.0,8.0,15.285714285714286,1.253566341056013,15.357142857142858,4.415580878814756,0,0,0,8
2024-02-23,SKU001,14,51296.7,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Friday,0,Winter,No Holiday,0,No Promotion,,18.0,15.0,10.0,9.0,15.714285714285714,1.6035674514745404,15.714285714285714,4.197504927816955,0,0,0,8
2024-02-24,SKU001,17,62288.85,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Saturday,1,Winter,No Holiday,0,No Promotion,,14.0,13.0,15.0,18.0,15.571428571428571,1.7182493859684445,15.892857142857142,4.003140301704685,0,0,1,8
2024-02-25,SKU001,23,84273.15,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,8,Sunday,1,Winter,No Holiday,0,No Promotion,,17.0,16.0,19.0,12.0,16.142857142857142,1.3451854182690879,15.857142857142858,3.9880774697543058,0,0,1,8
2024-02-26,SKU001,8,29312.4,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,9,Monday,0,Winter,No Holiday,0,No Promotion,,23.0,15.0,14.0,14.0,17.142857142857142,2.911389784310995,16.25,4.133198922545749,0,0,0,9
2024-02-27,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,9,Tuesday,0,Winter,No Holiday,0,No Promotion,,8.0,17.0,9.0,23.0,16.142857142857142,4.525062483125559,16.035714285714285,4.401028018434741,0,0,0,9
2024-02-28,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,9,Wednesday,0,Winter,No Holiday,0,No Promotion,,13.0,16.0,22.0,7.0,15.571428571428571,4.649628761422529,15.678571428571429,4.216840764333654,0,0,0,9
2024-02-29,SKU001,10,36640.5,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,2,Q1,9,Thursday,0,Winter,No Holiday,0,No Promotion,,13.0,18.0,15.0,12.0,15.142857142857142,4.740906081772816,15.892857142857142,3.900040699828332,0,0,0,9
2024-03-01,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,9,Friday,0,Spring,No Holiday,0,No Promotion,,10.0,14.0,15.0,21.0,14.0,4.898979485566358,15.821428571428571,3.991227152129303,0,0,0,9
2024-03-02,SKU001,24,87937.2,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,9,Saturday,1,Spring,No Holiday,0,Seasonal Promotion,,12.0,17.0,13.0,24.0,13.714285714285714,4.9569575922564235,15.5,3.920506392083856,1,0,1,9
2024-03-03,SKU001,23,84273.15,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,9,Sunday,1,Spring,No Holiday,0,Seasonal Promotion,,24.0,23.0,16.0,18.0,14.714285714285714,6.26403186758299,15.5,3.920506392083856,1,0,1,9
2024-03-04,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Monday,0,Spring,No Holiday,0,No Promotion,,23.0,8.0,15.0,15.0,14.714285714285714,6.26403186758299,15.678571428571429,4.1459803954135435,0,0,0,10
2024-03-05,SKU001,19,69616.95,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Tuesday,0,Spring,No Holiday,0,No Promotion,,12.0,13.0,17.0,18.0,15.285714285714286,5.70713838726805,15.571428571428571,4.202543951153357,0,0,0,10
2024-03-06,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Wednesday,0,Spring,No Holiday,0,No Promotion,,19.0,13.0,16.0,16.0,16.142857142857142,5.756983337031393,15.607142857142858,4.228118272587007,0,0,0,10
2024-03-07,SKU001,9,32976.45,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Thursday,0,Spring,No Holiday,0,No Promotion,,15.0,10.0,18.0,19.0,16.428571428571427,5.623081683476381,15.571428571428571,4.228900316110312,0,0,0,10
2024-03-08,SKU001,15,54960.75,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Friday,0,Spring,No Holiday,0,No Promotion,,9.0,12.0,14.0,10.0,16.285714285714285,5.822779568622005,15.214285714285714,4.349177383752464,0,0,0,10
2024-03-09,SKU001,28,102593.4,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Saturday,1,Spring,No Holiday,0,Seasonal Promotion,,15.0,24.0,17.0,15.0,16.714285714285715,5.559205150447486,15.392857142857142,4.228118272587007,1,0,1,10
2024-03-10,SKU001,21,76945.05,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,10,Sunday,1,Spring,No Holiday,0,Seasonal Promotion,,28.0,23.0,23.0,19.0,17.285714285714285,6.550172662209894,15.857142857142858,4.85122577648078,1,0,1,10
2024-03-11,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Monday,0,Spring,No Holiday,0,No Promotion,,21.0,12.0,8.0,14.0,17.0,6.298147875897058,15.928571428571429,4.913538149119955,0,0,0,11
2024-03-12,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Tuesday,0,Spring,No Holiday,0,No Promotion,,11.0,19.0,13.0,9.0,16.857142857142858,6.440201120787334,15.821428571428571,4.989274210028665,0,0,0,11
2024-03-13,SKU001,24,87937.2,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Wednesday,0,Spring,No Holiday,0,No Promotion,,12.0,15.0,13.0,22.0,15.857142857142858,6.593647736738021,15.928571428571429,4.8681015497227165,0,0,0,11
2024-03-14,SKU001,17,62288.85,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Thursday,0,Spring,No Holiday,0,No Promotion,,24.0,9.0,10.0,15.0,17.142857142857142,7.244045173533253,16.0,4.974006507910977,0,0,0,11
2024-03-15,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Friday,0,Spring,No Holiday,0,No Promotion,,17.0,15.0,12.0,15.0,18.285714285714285,6.3170216007832245,16.071428571428573,4.973474613934382,0,0,0,11
2024-03-16,SKU001,31,113585.55,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Saturday,1,Spring,No Holiday,0,Seasonal Promotion,,12.0,28.0,24.0,13.0,17.857142857142858,6.669047194029326,15.964285714285714,5.0294108546601715,1,0,1,11
2024-03-17,SKU001,15,54960.75,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,11,Sunday,1,Spring,No Holiday,0,Seasonal Promotion,,31.0,21.0,23.0,16.0,18.285714285714285,7.476948702830711,16.607142857142858,5.737074268651329,1,0,1,11
2024-03-18,SKU001,22,80609.1,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Monday,0,Spring,No Holiday,0,No Promotion,,15.0,11.0,12.0,15.0,17.428571428571427,7.457817885886432,16.571428571428573,5.744102105177886,0,0,0,12
2024-03-19,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Tuesday,0,Spring,No Holiday,0,No Promotion,,22.0,12.0,19.0,17.0,19.0,7.023769168568489,16.821428571428573,5.824937268322656,0,0,0,12
2024-03-20,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Wednesday,0,Spring,No Holiday,0,No Promotion,,11.0,24.0,15.0,16.0,18.857142857142858,7.197883286739495,16.607142857142858,5.927583266917758,0,0,0,12
2024-03-21,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Thursday,0,Spring,No Holiday,0,No Promotion,,11.0,17.0,9.0,18.0,17.0,7.325753658611967,16.428571428571427,6.021126825932856,0,0,0,12
2024-03-22,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Friday,0,Spring,No Holiday,0,No Promotion,,18.0,12.0,15.0,14.0,17.142857142857142,7.335497516155518,16.428571428571427,6.021126825932856,0,0,0,12
2024-03-23,SKU001,25,91601.25,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Saturday,1,Spring,No Holiday,0,Seasonal Promotion,,13.0,31.0,28.0,17.0,17.285714285714285,7.227592630889983,16.392857142857142,6.039004613309774,1,0,1,12
2024-03-24,SKU001,30,109921.5,3664.05,1,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,12,Sunday,1,Spring,No Holiday,0,Seasonal Promotion,,25.0,15.0,21.0,23.0,16.428571428571427,5.472876844254849,16.678571428571427,6.254204934688293,1,0,1,12
2024-03-25,SKU001,7,25648.35,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,13,Monday,0,Spring,No Holiday,0,No Promotion,,30.0,22.0,11.0,8.0,18.571428571428573,7.412987316351007,16.928571428571427,6.644009116704851,0,0,0,13
2024-03-26,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,13,Tuesday,0,Spring,No Holiday,0,No Promotion,,7.0,11.0,12.0,13.0,16.428571428571427,8.36375399879629,16.892857142857142,6.696263666399878,0,0,0,13
2024-03-27,SKU001,21,76945.05,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,13,Wednesday,0,Spring,No Holiday,0,No Promotion,,12.0,11.0,24.0,13.0,16.571428571428573,8.26351706513118,16.857142857142858,6.720418228356119,0,0,0,13
2024-03-28,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,13,Thursday,0,Spring,No Holiday,0,No Promotion,,21.0,18.0,17.0,10.0,18.0,7.999999999999997,17.142857142857142,6.72041822835612,0,0,0,13
2024-03-29,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,3,Q1,13,Friday,0,Spring,No Holiday,0,No Promotion,,11.0,13.0,12.0,12.0,17.0,8.426149773176355,17.178571428571427,6.683609423106273,0,0,0,13
